Team,Player,Event,Mins,Secs,X,Y,X2,Y2
SBFC,Judith,Tackle,20,43,61,28,-,-
SBFC,Judith,Successful Pass,20,43,60,27,-,-
SBFC,Nithya,Unsuccessful Pass,20,44,67,36,-,-
Prakrida FC,Shraddha,Goal Kick,20,54,2,71,-,-
Prakrida FC,Shraddha,Successful Pass,20,41,2,71,-,-
Prakrida FC,Shraddha,Successful Pass,20,54,2,71,-,-
Prakrida FC,Nicky,Successful Pass,20,56,10,87,-,-
Prakrida FC,Shraddha,Successful Pass,20,57,7,62,-,-
Prakrida FC,Tiana,Successful Pass,20,59,27,6,-,-
SBFC,16,Tackle,21,0,44,12,-,-
Prakrida FC,Sanju,Successful Pass,21,2,37,13,-,-
Prakrida FC,Deepa,Successful Pass,21,6,58,35,-,-
SBFC,16,Successful DA,21,8,73,6,-,-
Prakrida FC,Tiana,Successful Pass,21,18,86,1,-,-
Prakrida FC,Sanju,Successful Pass,21,20,60,6,-,-
Prakrida FC,Nicky,Shot Off Target,21,23,36,24,-,-
